"error_severity","event_message","id","identifier","timestamp"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","86c9e8e2-0ea8-4bd9-afc2-8c9336b34ca4","emczcwlvbdrkaoyhpxzy","1737098894653000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager_pub SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","d0b771b5-af55-4b9f-afc8-127b42d7ed6a","emczcwlvbdrkaoyhpxzy","1737098894653000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","34093a3e-6825-4b16-abba-e8d8720b9baa","emczcwlvbdrkaoyhpxzy","1737098894647000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_checker SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","4dbb666a-a26d-4a0d-b2e6-2811282e921a","emczcwlvbdrkaoyhpxzy","1737098894647000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","7d325e29-35b2-4f77-a4df-9bfdb868af1e","emczcwlvbdrkaoyhpxzy","1737098894640000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_rls SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","6f0f5bcd-54af-4534-97cb-3de82595fee7","emczcwlvbdrkaoyhpxzy","1737098894640000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager_pub SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","bb7983dc-0b15-4a14-bf49-7b8da009d5b1","emczcwlvbdrkaoyhpxzy","1737098894639000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","bac13ba2-a057-44c1-b207-2b99371ba0ea","emczcwlvbdrkaoyhpxzy","1737098894639000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager_pub SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","c59a8e45-c7bc-4e35-871e-3a82a5411535","emczcwlvbdrkaoyhpxzy","1737098894632000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","70e51d77-788c-4ce2-9b91-d30fc8c602e8","emczcwlvbdrkaoyhpxzy","1737098894632000"
